yoe,salary
1.1,39183.69
1.0,39336.04
1.0,39246.2
1.0,39520.92
1.1,39230.65
1.1,39713.15
1.1,39321.71
1.1,39432.28
1.1,39549.13
1.1,39774.68
1.1,39241.87
1.0,39583.22
1.2,38884.71
1.2,39770.21
1.1,39357.2
1.1,39119.21
1.0,39279.81
1.2,39145.39
1.1,38960.29
1.1,39180.25
1.0,39464.19
1.1,39292.08
1.0,39741.62
1.2,39555.76
1.2,39664.17
1.2,39286.72
1.0,39475.98
1.1,39550.07
1.0,39022.04
1.0,39094.4
1.2,39385.54
1.2,39160.79
1.0,39524.87
1.0,38909.83
1.2,39322.75
1.1,39009.32
1.0,38937.32
1.1,39215.39
1.0,39227.45
1.1,39386.31
1.1,39673.93
1.2,39708.9
1.2,39341.08
1.0,39525.21
1.1,39748.55
1.1,39780.26
1.0,38854.26
1.1,39375.04
1.0,39151.75
1.2,39414.25
1.2,39032.42
1.1,39659.64
1.1,39442.53
1.2,39779.71
1.1,39288.13
1.1,39219.75
1.0,38931.43
1.2,39586.67
1.2,39282.45
1.1,39680.67
1.1,39813.65
1.1,38875.46
1.2,39802.34
1.0,39229.1
1.1,39387.3
1.2,38853.02
1.1,39456.43
1.0,39437.4
1.1,38957.56
1.1,39397.8
1.0,39445.12
1.1,39836.76
1.2,39732.6
1.1,38898.3
1.1,39125.01
1.2,39111.59
1.0,39082.35
1.1,39066.05
1.0,39559.28
1.1,39619.16
1.1,39428.76
1.1,39230.7
1.1,39018.26
1.1,38998.79
1.1,39498.95
1.1,39333.13
1.0,39000.06
1.1,38885.55
1.1,39120.08
1.0,38945.45
1.0,39443.64
1.2,38866.2
1.0,39644.67
1.1,39240.72
1.1,38883.9
1.1,38880.93
1.1,39761.93
1.1,39007.29
1.0,39376.94
1.0,39094.81
1.2,38877.41
1.1,39606.49
1.1,39409.62
1.2,39108.21
1.1,39387.76
1.2,38929.43
1.1,38985.72
1.1,39300.93
1.1,39723.75
1.1,39343.47
1.0,39273.91
1.1,39266.29
1.0,39366.98
1.2,39787.46
1.2,39569.73
1.1,39305.78
1.2,39144.22
1.2,39702.74
1.1,39602.14
1.1,39079.45
1.1,39181.12
1.0,39254.36
1.0,39830.95
1.1,39230.81
1.0,39542.1
1.2,39688.62
1.1,39050.59
1.2,39747.34
1.2,39276.93
1.2,39019.21
1.1,39325.61
1.1,39235.99
1.2,38986.27
1.1,39015.44
1.1,39548.59
1.2,39762.84
1.1,39172.22
1.1,38990.93
1.0,38998.28
1.2,39789.09
1.2,39120.5
1.1,39795.4
1.1,38873.52
1.1,39129.45
1.2,39734.12
1.2,39261.97
1.0,39229.92
1.0,39163.02
1.2,39711.55
1.0,38859.61
1.1,39574.22
1.0,39010.25
1.2,39154.74
1.1,39089.39
1.0,38869.11
1.0,39061.27
1.1,38921.37
1.2,39107.0
1.1,38845.45
1.1,39339.86
1.1,39622.56
1.2,39152.84
1.1,39340.9
1.0,39397.57
1.1,39532.73
1.0,39765.89
1.0,39724.22
1.1,39234.99
1.0,39308.67
1.1,38892.42
1.1,39802.55
1.1,39833.1
1.1,39755.25
1.2,39154.94
1.0,39511.57
1.1,39699.79
1.0,39831.72
1.2,39583.62
1.1,39694.81
1.2,39617.31
1.2,39215.56
1.1,39482.84
1.2,39383.37
1.0,38917.32
1.2,39625.3
1.0,38911.91
1.0,39033.76
1.2,38934.77
1.1,39138.21
1.0,39118.61
1.2,39621.47
1.0,39220.32
1.2,39112.02
1.1,39762.81
1.0,39118.06
1.1,39822.79
1.2,39073.17
1.2,38959.61
1.1,39019.33
1.1,39220.13
1.1,38899.73
1.1,39640.69
1.1,39430.08
1.1,39592.43
1.1,39065.89
1.1,39055.79
1.2,39655.38
1.1,39534.96
1.0,39651.78
1.2,39386.46
1.2,39642.47
1.0,39425.13
1.1,39564.54
1.1,39055.85
1.2,39609.77
1.0,39518.99
1.0,39633.97
1.0,39435.41
1.1,39707.58
1.2,39482.26
1.2,39034.7
1.2,39130.16
1.1,39185.13
1.1,39643.64
1.0,39012.42
1.2,39578.67
1.1,38845.3
1.2,39791.66
1.1,38892.12
1.1,39598.31
1.2,39487.31
1.1,39424.21
1.0,39209.11
1.1,38893.77
1.1,39089.04
1.1,39297.3
1.1,39730.17
1.1,39712.22
1.1,39635.45
1.2,39442.51
1.2,38861.36
1.1,39324.05
1.1,39270.64
1.1,39702.92
1.1,38863.49
1.2,39190.87
1.1,39169.49
1.1,39712.84
1.1,39387.16
1.1,39093.53
1.0,39605.62
1.1,39438.21
1.0,39325.53
1.1,38872.35
1.1,39324.5
1.1,39766.7
1.2,39634.65
1.1,38881.08
1.1,38973.6
1.0,39525.71
1.1,39559.41
1.1,38874.8
1.1,39174.9
1.2,39414.57
1.1,39043.35
1.1,39667.58
1.2,39293.09
1.2,39585.17
1.0,39111.16
1.2,39443.8
1.1,39547.56
1.2,39585.7
1.0,39078.56
1.0,39302.29
1.1,39264.56
1.1,39165.36
1.0,38943.08
1.1,38990.26
1.0,38948.39
1.2,39549.92
1.1,39284.55
1.1,39229.36
1.2,39158.73
1.2,39771.0
1.0,39420.58
1.1,39000.57
1.0,39561.17
1.1,39708.21
1.2,38981.16
1.2,39012.57
1.0,39661.03
1.0,39108.75
1.1,39742.34
1.0,39689.66
1.1,39577.91
1.2,39003.35
1.1,38988.47
1.2,39602.19
1.0,39491.43
1.0,39234.17
1.1,38943.25
1.2,39692.87
1.1,38972.66
1.1,39775.36
1.1,39781.74
1.1,39712.61
1.1,39629.15
1.0,39209.28
1.1,38962.49
1.1,39370.2
1.1,39378.36
1.1,39486.59
1.0,39671.96
1.1,39481.78
1.1,39564.68
1.1,39311.61
1.1,39661.2
1.1,39299.21
1.1,39534.88
1.2,39420.96
1.1,39628.99
1.0,39741.5
1.0,39814.78
1.2,39771.32
1.2,39719.94
1.1,39343.3
1.0,39776.18
1.2,39091.9
1.1,39209.44
1.1,39711.14
1.0,39387.34
1.2,39056.08
1.1,39316.82
1.1,39772.03
1.1,39664.19
1.1,39613.54
1.1,39228.7
1.0,39409.6
1.2,39661.95
1.1,39039.78
1.1,39315.66
1.2,39777.22
1.1,38939.98
1.0,39228.23
1.1,39348.59
1.1,39791.53
1.1,39514.62
1.1,39229.99
1.1,39172.28
1.1,38871.72
1.2,39435.11
1.0,39164.15
1.1,38961.37
1.1,39816.81
1.0,38985.66
1.1,39031.07
1.0,39718.53
1.1,39369.97
1.0,39492.98
1.2,39669.13
1.0,39494.55
1.2,39350.3
1.0,39222.11
1.1,39494.6
1.0,39328.54
1.1,39327.83
1.1,39529.08
1.2,38896.01
1.1,38889.76
1.1,39390.11
1.0,39297.94
1.1,39701.6
1.1,39378.68
1.1,39476.27
1.1,39208.91
1.1,38893.06
1.1,39438.88
1.1,39256.42
1.0,39596.74
1.0,39216.48
1.1,38999.13
1.1,39604.0
1.0,39841.44
1.2,39145.52
1.1,38910.18
1.0,39154.39
1.2,39494.99
1.1,39057.87
1.2,39256.27
1.2,39507.46
1.1,39336.82
1.0,38971.82
1.1,39148.82
1.2,39436.78
1.0,39127.87
1.1,39748.69
1.1,39787.45
1.0,39599.79
1.2,39463.01
1.1,39018.8
1.0,39367.17
1.1,39731.43
1.1,39629.59
1.0,38853.18
1.2,39634.01
1.1,38875.22
1.2,38973.94
1.1,39310.4
1.2,39821.34
1.2,39147.91
1.1,39826.47
1.0,39709.61
1.0,38989.16
1.0,39389.87
1.0,39051.46
1.1,38964.43
1.1,39451.84
1.1,39751.34
1.2,39353.63
1.1,39182.62
1.1,39215.13
1.2,39378.89
1.0,39175.43
1.2,39621.13
1.0,39478.88
1.1,39342.68
1.1,39267.18
1.0,38970.55
1.0,39144.55
1.0,39467.5
1.2,38933.14
1.0,38885.94
1.2,38900.02
1.1,39635.7
1.1,39223.84
1.0,39320.31
1.1,38982.14
1.2,39123.44
1.0,39621.96
1.0,39255.28
1.1,39652.24
1.1,38912.75
1.1,39798.15
1.1,39320.43
1.1,39341.07
1.0,39540.52
1.1,39411.52
1.1,38987.88
1.1,39737.93
1.2,38902.7
1.2,39691.43
1.1,39512.26
1.0,38932.1
1.1,38938.21
1.1,39428.63
1.0,39501.06
1.0,39189.68
1.2,39330.06
1.2,39370.51
1.1,39353.9
1.0,38986.99
1.2,38844.6
1.1,39822.58
1.0,39003.8
1.0,39137.45
1.2,39238.52
1.1,39503.73
1.0,39829.13
1.0,39309.98
1.2,39595.11
1.1,39578.68
1.0,39716.24
1.1,39790.01
1.1,39204.22
1.1,39768.92
1.1,39821.56
1.1,39617.87
1.1,39431.83
1.0,39255.35
1.0,39272.7
1.0,39303.0
1.1,39471.21
1.1,39553.06
1.1,38900.66
1.2,39303.13
1.1,39584.55
1.2,39008.26
1.2,39453.46
1.0,38972.28
1.1,39492.76
1.1,39446.11
1.1,38856.48
1.1,39613.17
1.2,38872.37
1.2,39532.53
1.0,39635.5
1.2,39158.18
1.1,39254.45
1.0,38879.88
1.1,38914.14
1.1,39074.53
1.2,38873.22
1.1,38910.74
1.1,39320.59
1.1,39199.09
1.1,39479.3
1.2,39136.7
1.1,39462.43
1.1,38902.97
1.0,39380.89
1.0,39546.59
1.0,39779.23
1.1,38953.42
1.1,38909.57
1.1,39357.21
1.2,39706.82
1.1,39475.87
1.2,38919.33
1.0,38968.14
1.2,39436.82
1.2,38994.42
1.1,38901.74
1.0,39689.81
1.1,39750.98
1.1,38954.01
1.1,38853.81
1.1,39150.14
1.2,39073.86
1.0,39740.38
1.2,39521.74
1.0,39017.69
1.1,39706.2
1.1,39309.07
1.2,39389.78
1.0,38910.22
1.2,39073.06
1.2,39420.76
1.2,39117.3
1.2,39268.81
1.0,39573.53
1.1,39314.95
1.2,39167.71
1.1,39841.28
1.1,39676.05
1.0,39246.42
1.1,39576.35
1.2,39285.94
1.1,39085.34
1.0,39610.87
1.0,38869.29
1.1,39230.65
1.1,39078.0
1.0,39694.53
1.1,39192.06
1.2,39659.22
1.2,39282.66
1.1,39102.77
1.1,38987.27
1.2,39585.3
1.2,39409.8
1.1,39566.53
1.0,39584.87
1.0,39178.62
1.2,39238.87
1.1,38898.03
1.0,39747.6
1.1,39519.61
1.0,39789.42
1.1,39836.13
1.1,38894.31
1.2,39117.38
1.1,39628.38
1.1,39678.9
1.0,39453.97
1.1,38951.07
1.1,39626.26
1.0,39234.84
1.0,39426.16
1.0,39033.49
1.1,39730.06
1.0,39670.59
1.1,39650.23
1.1,39037.64
1.2,39321.62
1.1,39226.19
1.1,39842.89
1.1,38850.34
1.2,39673.32
1.0,39762.3
1.2,38926.98
1.1,39263.13
1.0,39517.83
1.1,39652.42
1.1,38986.85
1.2,38971.35
1.1,39160.18
1.1,39257.75
1.1,39815.6
1.2,39021.27
1.1,39283.65
1.0,38931.95
1.1,39400.65
1.0,39742.07
1.0,39816.14
1.2,39669.84
1.2,39421.5
1.1,39744.08
1.1,39357.53
1.2,39572.69
1.1,39115.41
1.0,39790.9
1.1,39546.25
1.0,39468.67
1.2,39460.71
1.1,39233.5
1.1,39806.78
1.1,39050.0
1.2,39707.02
1.2,38859.84
1.2,39657.15
1.1,39546.11
1.1,39093.72
1.0,38933.67
1.0,39332.52
1.0,39469.97
1.1,39139.47
1.0,39024.3
1.1,38884.92
1.0,39011.61
1.1,39463.22
1.1,38851.9
1.0,39825.6
1.2,38854.97
1.1,39152.06
1.1,39297.62
1.0,39468.12
1.1,39058.18
1.1,39050.2
1.1,39043.79
1.1,39240.0
1.1,39679.94
1.1,39373.35
1.0,38904.28
1.0,39147.02
1.2,39057.42
1.1,38947.28
1.1,39356.59
1.2,39345.75
1.2,39215.25
1.2,39417.26
1.0,39778.72
1.0,39716.37
1.1,39377.38
1.1,38928.06
1.2,39536.01
1.2,39739.08
1.1,39190.5
1.0,39237.9
1.1,39453.37
1.1,39040.34
1.2,39380.35
1.1,39430.39
1.1,39724.88
1.0,38988.9
1.1,39466.84
1.0,38896.94
1.0,39405.34
1.1,39536.99
1.1,39469.83
1.1,39672.82
1.1,38970.45
1.1,39316.69
1.2,39089.65
1.2,38947.01
1.2,39403.93
1.1,39370.77
1.0,39088.65
1.2,39701.86
1.0,39349.8
1.2,39253.05
1.2,38938.58
1.0,38913.76
1.2,39446.96
1.2,39417.79
1.1,38846.03
1.1,39049.61
1.1,39430.71
1.1,39717.2
1.0,39373.49
1.1,39074.9
1.1,39110.59
1.2,39266.68
1.2,39742.91
1.1,39689.32
1.0,39199.28
1.1,39759.49
1.0,38971.04
1.2,39423.33
1.2,39401.39
1.1,38881.68
1.2,39542.77
1.0,39501.04
1.1,39756.79
1.1,39232.1
1.0,39476.44
1.0,39307.47
1.2,39165.44
1.1,39602.67
1.1,39832.27
1.2,39034.68
1.1,39217.31
1.1,39646.98
1.0,39546.81
1.1,39125.9
1.1,39407.43
1.1,39647.05
1.1,39333.63
1.1,39569.82
1.0,39746.77
1.1,39289.58
1.1,39492.27
1.2,39775.65
1.2,38949.49
1.0,39063.05
1.1,39565.7
1.0,39658.21
1.2,39528.48
1.1,38875.62
1.1,38999.19
1.0,39610.16
1.0,38987.25
1.0,39337.64
1.0,39602.03
1.2,38936.92
1.1,39315.75
1.1,39013.22
1.1,39367.8
1.2,39279.61
1.1,39761.28
1.2,39537.85
1.1,39133.87
1.2,39715.33
1.2,39132.46
1.0,39180.48
1.1,39563.18
1.1,39702.65
1.1,38991.99
1.0,39302.83
1.0,39175.68
1.2,39679.78
1.1,39515.27
1.1,39353.86
1.0,38959.83
1.1,39377.24
1.0,39636.57
1.1,39439.78
1.1,39399.6
1.0,39612.46
1.1,38975.2
1.1,39619.83
1.2,39242.12
1.0,39643.73
1.0,38846.33
1.1,39311.18
1.2,38963.5
1.2,39074.73
1.0,39430.78
1.2,39649.88
1.0,38848.56
1.1,39556.55
1.0,39191.72
1.1,38889.86
1.0,39752.07
1.1,39133.69
1.1,39331.34
1.1,39595.96
1.1,38954.1
1.1,39541.56
1.2,39040.57
1.1,39613.76
1.2,39702.14
1.2,39661.46
1.0,39756.63
1.0,38873.99
1.0,39438.79
1.0,39152.55
1.1,39521.4
1.2,39074.69
1.2,39534.55
1.0,39016.93
1.1,39198.7
1.0,39534.34
1.2,38919.74
1.1,39618.28
1.1,39586.24
1.1,39771.03
1.2,38910.78
1.2,38976.8
1.1,38927.56
1.0,38916.43
1.1,38988.7
1.0,39511.15
1.1,39755.08
1.1,39095.92
1.1,39319.06
1.2,39595.78
1.2,39497.49
1.2,39355.23
1.1,39579.34
1.1,39791.66
1.0,39300.5
1.1,39199.48
1.2,39147.23
1.1,39300.8
1.1,38876.88
1.1,39051.28
1.1,39638.51
1.1,39727.57
1.1,38859.77
1.1,39236.34
1.1,39213.85
1.0,39299.49
1.2,39256.58
1.1,39515.5
1.1,38941.95
1.1,39478.96
1.1,39692.9
1.2,39334.2
1.1,39462.78
1.0,39631.68
1.1,38891.26
1.2,39320.0
1.0,39145.75
1.0,39424.43
1.1,39542.27
1.0,39129.0
1.2,39414.38
1.0,39229.29
1.1,39427.99
1.1,39158.72
1.1,39825.05
1.2,39469.43
1.2,39676.29
1.2,38946.46
1.1,39184.27
1.1,39211.82
1.1,39075.36
1.0,39365.7
1.1,39217.72
1.1,38879.14
1.1,39261.56
1.1,39258.35
1.2,39016.02
1.1,38953.42
1.0,39669.2
1.1,39285.82
1.0,39167.0
1.0,39260.2
1.2,39733.44
1.1,39338.47
1.1,39201.28
1.0,39356.07
1.0,39545.11
1.0,38858.12
1.0,39320.64
1.0,38952.91
1.0,39142.53
1.2,39200.86
1.1,39437.29
1.1,39344.0
1.0,39576.48
1.1,39836.36
1.1,39309.96
1.2,39161.13
1.1,39416.39
1.2,39263.76
1.0,39664.14
1.1,38861.97
1.0,39792.77
1.1,38982.12
1.2,39474.07
1.1,39301.37
1.2,39346.17
1.1,39699.15
1.2,39693.16
1.0,38928.87
1.0,39138.47
1.1,38941.02
1.1,39255.14
1.1,39548.97
1.1,39486.36
1.0,39035.49
1.1,39555.08
1.0,39170.77
1.1,38916.64
1.2,39181.5
1.1,39330.05
1.0,38975.86
1.1,39734.66
1.2,39039.23
1.1,39098.08
1.0,39627.81
1.1,38891.66
1.2,39012.37
1.2,39655.61
1.1,39717.05
1.1,39475.34
1.2,39384.07
1.1,38976.04
1.1,38923.2
1.2,39089.17
1.0,39027.74
1.1,39237.18
1.2,39086.57
1.2,39722.39
1.1,38896.72
1.2,39063.8
1.1,39045.3
1.1,39685.88
1.1,39349.52
1.1,39512.39
1.0,38935.86
1.1,39453.12
1.0,39353.71
1.1,39195.42
1.1,39636.35
1.0,39594.96
1.1,39454.82
1.0,39798.63
1.2,39337.62
1.1,39147.78
1.2,39045.72
1.1,39759.21
1.2,39768.78
1.2,39317.94
1.0,39713.87
1.1,39220.55
1.1,39773.05
1.0,38966.07
1.1,39127.23
1.2,39279.34
1.1,39273.0
1.1,39395.15
1.0,39010.03
1.1,38891.19
1.2,39264.95
1.2,39648.86
1.0,39748.94
1.2,39692.92
1.0,39539.79
1.2,39323.54
1.2,39557.63
1.1,39482.28
1.1,39778.41
1.1,39503.12
1.1,39480.96
1.1,39503.85
1.0,39795.46
1.1,39012.59
1.1,38930.99
1.2,39599.89
1.2,39663.98
1.2,39256.38
1.1,39473.97
1.2,39018.72
1.1,39230.31
1.1,39334.49
1.2,38954.49
1.1,39060.79
1.0,39191.94
1.1,39251.09
1.2,38932.65
1.0,39184.31
1.1,39795.22
1.0,39205.51
1.1,39032.89
1.2,39009.72
1.1,39328.21
1.0,38848.59
1.2,39037.07
1.2,39055.18
1.1,38865.9
1.2,38925.93
1.0,39442.39
1.2,39538.7
1.0,38969.02
1.2,39422.74
1.1,39154.63
1.0,39020.1
1.1,39353.41
1.0,39391.32
1.1,39555.61
1.0,39600.9
1.1,39724.89
1.2,39525.49
1.1,39681.04
1.0,38869.14
1.2,39201.74
1.1,39297.09
1.0,38942.79
1.2,39001.48
1.2,38879.44
1.0,39826.47
1.1,39647.39
1.2,39837.46
1.2,39306.96
1.1,39469.2
1.0,39670.15
1.1,39744.54
1.1,39553.58
1.2,38866.89
1.0,39648.11
1.1,39696.81
1.1,39798.96
1.0,39272.37
1.0,39553.04
1.0,39181.46
1.1,39109.57
1.1,39386.16
1.2,39095.35
1.2,39172.33
1.1,39059.13
1.0,39546.92
1.2,38869.86
1.0,39507.04
1.2,39305.37
1.2,39178.21
1.1,38899.11
1.2,39338.89
1.0,39305.67
1.1,39802.1
1.0,39059.02
1.1,38877.58
1.1,38984.7
1.2,38969.05
1.0,39295.0
1.0,39033.8
1.1,39780.64
1.2,39509.26
1.2,39613.56
1.2,39480.37
1.1,39202.67
1.2,39322.57
1.1,38866.93
1.1,39102.27
1.1,39403.0
1.2,38882.69
1.0,39692.72
1.1,39704.69
1.1,38948.07
1.1,39808.63
1.1,39352.64
1.2,39071.9
1.2,39256.22
1.1,39414.56
1.0,39491.2
1.2,38908.14
1.2,39570.27
1.2,39596.03
1.1,39286.91
1.1,39298.96
1.1,38879.92
1.1,39800.34
1.1,39535.27
1.0,39002.46
1.0,38873.88
1.2,39041.89
1.1,39730.37
1.1,39605.11
1.0,39761.07
1.1,39390.29
1.2,39762.0
1.2,38903.19
1.2,39441.51
1.0,39095.41
1.1,39614.58
1.0,39293.27
1.0,38889.8
1.1,39825.65
1.1,39303.88
1.1,39450.6
1.0,39146.65
1.1,39631.84
1.0,39693.75
1.1,39079.36
1.2,39409.2
1.2,39336.53
1.0,39276.41
1.0,39741.58
1.1,39141.49
1.1,39253.45
1.1,39715.54
1.2,39508.97
1.0,39448.57
1.1,39528.88
1.1,39402.65
1.0,39436.8
1.0,39624.67
1.1,39679.82
1.1,39633.39
1.1,39113.14
1.2,39696.24
1.1,39432.85
1.2,39072.95
1.0,39648.98
1.1,39687.37
1.1,39232.68
1.1,39693.75
1.2,39099.55
1.1,39504.98
1.1,39204.7
1.1,39242.31
1.1,39762.41
1.0,39772.99
1.0,39156.5
1.1,39475.96
1.2,39584.96
1.1,39603.13
1.1,39537.55
1.0,39611.52
1.1,39603.63
1.1,39732.57
1.1,39633.03
1.1,39816.96
1.0,38873.49
1.2,39411.99
1.1,39306.27
1.2,39510.6
1.1,39229.14
1.0,39306.28
1.1,39430.3
1.1,38966.08
1.0,39810.18
1.1,39732.62
1.2,39738.78
1.1,39525.79
1.1,38971.65
1.1,39340.81
1.2,39433.02
1.1,39104.11
1.2,39653.05
1.1,39527.82
1.2,39196.24
1.1,39189.05
1.1,39628.49
1.0,39026.28
1.2,39165.66
1.1,39833.93
1.1,39022.93
1.0,39113.88
1.1,39679.02
1.1,39477.5
1.0,39378.03
1.2,39386.58
1.2,39619.17
1.2,39595.74
1.0,39048.75
1.1,39541.74
1.1,39435.23
1.0,38901.54
1.1,39243.45
1.1,39539.82
1.0,39243.36
1.1,38941.79
1.1,39059.55
1.1,39319.51
1.0,38912.22
1.0,39727.25
1.2,39391.03
1.2,38873.03
1.1,39601.69
1.2,39369.31
1.1,39666.88
1.0,39196.0
1.1,39609.19
1.2,39185.8
1.0,38974.72
1.0,38872.45
1.1,39149.19
1.0,38864.54
1.1,39268.05
1.0,39510.52
1.1,39595.58
1.1,39279.54
1.0,38992.3
1.1,39158.25
1.1,39130.95
1.1,39287.3
1.1,39592.76
1.2,39503.64
1.0,39189.03
1.0,39330.27
1.2,39406.46
1.2,39169.94
1.1,39097.29
1.1,39306.1
1.1,39218.12
1.1,39513.16
1.0,39137.22
1.1,39632.5
1.2,39496.87
1.2,39745.29
1.1,39148.64
1.0,39325.41
1.2,39126.91
1.1,38880.49
1.1,39297.89
1.1,39771.68
1.0,39489.13
1.1,39286.54
1.1,39001.01
1.1,39712.33
1.0,39358.4
1.1,39530.87
1.2,39782.81
1.0,39567.87
1.1,39434.03
1.0,38921.59
1.1,39772.44
1.1,39274.16
1.1,38873.43
1.2,39236.24
1.2,39348.17
1.0,38902.34
1.1,39270.06
1.2,39547.92
1.2,39519.1
1.1,39109.07
1.2,39476.14
1.1,39095.12
1.1,39727.15
1.1,39199.5
1.2,39446.37
1.0,39063.94
1.1,39729.18
1.2,38847.35
1.0,39771.36
1.1,39744.96
1.1,39430.27
1.1,39702.66
1.1,39707.87
1.1,39458.69
1.2,38961.74
1.2,39302.14
1.0,39190.56
1.1,39768.17
1.0,39002.82
1.1,39217.47
1.1,39805.08
1.1,38974.15
1.1,39230.41
1.0,39625.51
1.2,39077.88
1.2,39800.98
1.0,39401.0
1.1,39260.28
1.2,39346.27
1.0,39666.04
1.2,38916.81
1.0,38956.86
1.2,39488.76
1.1,39072.31
1.1,38966.34
1.0,39812.29
1.1,39169.15
1.1,39742.41
1.1,38892.38
1.1,39773.98
1.2,38966.38
1.1,38903.31
1.1,39743.48
1.1,39478.69
1.1,39266.84
1.0,38866.4
1.1,39796.34
1.1,38886.04
1.1,39081.21
1.1,39036.2
1.1,39482.34
1.1,39291.45
1.0,39559.37
1.0,39821.52
1.2,38974.85
1.1,39146.73
1.1,38952.34
1.2,39539.01
1.2,39394.44
1.0,39587.12
1.1,39205.97
1.1,39645.09
1.0,39700.14
1.1,39415.08
1.1,39536.21
1.1,39150.92
1.0,38924.64
1.0,39382.54
1.1,39258.88
1.2,38951.23
1.0,39598.88
1.1,39535.47
1.2,39470.56
1.1,39505.21
1.1,39125.99
1.1,39686.7
1.1,39458.78
1.2,39191.12
1.1,39620.9
1.2,39526.32
1.1,39567.58
1.1,39755.86
1.0,39478.04
1.0,39313.62
1.1,39389.69
1.1,39635.94
1.0,39738.32
1.1,39411.14
1.1,39838.59
1.1,38879.04
1.1,39130.17
1.0,39538.12
1.1,39653.43
1.1,39486.1
1.2,39403.14
1.1,39178.22
1.1,39419.7
1.1,39790.99
1.1,39700.56
1.1,39198.85
1.1,39426.35
1.0,39766.32
1.1,38968.91
1.0,39380.06
1.0,39021.37
1.1,38847.52
1.1,39426.72
1.1,39695.29
1.1,39421.62
1.1,39836.02
1.2,39708.34
1.1,39310.75
1.0,39704.12
1.0,39391.32
1.1,39170.13
1.1,39166.06
1.2,39650.34
1.1,39086.43
1.1,39421.35
1.1,39242.25
1.0,39267.63
1.0,39193.88
1.1,39570.93
1.1,39402.91
1.0,39770.12
1.1,39456.39
1.1,39367.33
1.1,39047.34
1.1,39049.67
1.0,39537.15
1.1,39326.35
1.0,39147.71
1.0,39339.87
1.1,39472.42
1.2,39014.79
1.0,39354.29
1.0,39321.06
1.1,38999.28
1.0,39404.12
1.1,39752.57
1.0,39842.79
1.1,39722.97
1.1,39200.31
1.1,39478.75
1.1,38992.84
1.1,39012.91
1.0,39727.58
1.2,39023.82
1.1,38988.44
1.0,39348.86
1.1,39460.51
1.1,38927.73
1.0,39008.37
1.0,39822.13
1.1,38975.37
1.1,38941.69
1.1,39146.91
1.0,39744.12
1.0,39709.61
1.1,39187.6
1.1,39100.19
1.1,39045.63
1.2,39537.43
1.1,39492.22
1.2,39177.14
1.2,38995.22
1.0,39405.66
1.2,38957.85
1.2,39588.98
1.2,39593.0
1.1,39723.32
1.0,39806.24
1.1,39703.75
1.1,39459.25
1.2,39624.47
1.1,39315.64
1.0,38864.57
1.1,39638.35
1.0,38974.02
1.0,39595.92
1.2,39120.52
1.0,39499.66
1.0,39221.61
1.1,39419.33
1.0,39201.16
1.1,39755.88
1.2,39815.16
1.2,39827.31
1.2,39008.91
1.1,39459.18
1.0,38844.97
1.0,39626.82
1.0,39317.12
1.1,39605.96
1.0,39647.84
1.2,39242.34
1.1,39446.64
1.2,39662.1
1.1,38864.18
1.2,38935.8
1.2,39762.95
1.0,39367.99
1.2,39464.68
1.1,38984.56
1.1,39453.36
